LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
4400001,N,44,44007,148,39300,R.I. Sch for the Deaf,Rhode Island,RI,03,3,18,1,0,PK,12,67.0,67.0,2565000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146000.0,1143000.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,1419000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,177000.0,0.0,0.0,2643000.0,2545000.0,1532000.0,1532000.0,0.0,0.0,1013000.0,0.0,0.0,11000.0,455000.0,395000.0,0.0,152000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,11000.0,5000.0,0.0,0.0,0.0,82000.0,0.0,1310000.0,928000.0,870000.0,0.0,0.0,0.0,0.0,0.0,1000.0,329000.0,53000.0,0.0,0.0,0.0,454000.0,313000.0,0.0,0.0,0.0,124000.0,17000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54000.0,15000.0,10000.0,2545000.0,0.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R.I. Sch for the Deaf,6,
4400003,N,44,44007,148,39300,MET Career and Tech,Rhode Island,RI,02,3,18,1,0,09,12,780.0,780.0,4293000.0,560000.0,176000.0,67000.0,23000.0,0.0,0.0,0.0,294000.0,0.0,0.0,0.0,0.0,0.0,2877000.0,2716000.0,0.0,0.0,0.0,9000.0,0.0,23000.0,0.0,0.0,0.0,7000.0,0.0,122000.0,0.0,856000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,747000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,99000.0,9000.0,0.0,4042000.0,3847000.0,1482000.0,1482000.0,0.0,0.0,2281000.0,868000.0,289000.0,189000.0,229000.0,292000.0,2000.0,412000.0,0.0,84000.0,2000.0,82000.0,0.0,0.0,0.0,0.0,0.0,195000.0,166000.0,0.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0,2536000.0,1082000.0,723000.0,146000.0,0.0,11000.0,604000.0,227000.0,126000.0,151000.0,42000.0,0.0,304000.0,0.0,657000.0,322000.0,153000.0,33000.0,27000.0,57000.0,13000.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92000.0,38000.0,2000.0,3550000.0,296000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,MET Career and Tech,229,0.9170305676855897
4400004,N,44,44007,148,39300,Davies Career and Tech,Rhode Island,RI,02,3,18,1,0,09,12,848.0,848.0,18300000.0,1072000.0,336000.0,184000.0,65000.0,0.0,185000.0,0.0,0.0,302000.0,0.0,0.0,0.0,0.0,13705000.0,13399000.0,0.0,0.0,0.0,0.0,0.0,300000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,3523000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3352000.0,0.0,0.0,0.0,165000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17106000.0,15881000.0,9162000.0,9162000.0,0.0,0.0,6348000.0,1609000.0,557000.0,333000.0,706000.0,1634000.0,107000.0,1402000.0,0.0,371000.0,371000.0,0.0,0.0,524000.0,0.0,0.0,524000.0,254000.0,0.0,0.0,248000.0,6000.0,0.0,0.0,0.0,447000.0,0.0,8888000.0,5683000.0,3019000.0,560000.0,1880000.0,75000.0,978000.0,376000.0,177000.0,424000.0,372000.0,0.0,878000.0,0.0,4871000.0,3104000.0,596000.0,98000.0,101000.0,231000.0,262000.0,0.0,480000.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406000.0,117000.0,190000.0,15239000.0,642000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,Davies Career and Tech,171,0.9298245614035088
4400008,N,44,44007,148,39300,Beacon Charter School,Rhode Island,RI,03,1,18,1,0,06,12,369.0,369.0,5602000.0,497000.0,165000.0,99000.0,21000.0,0.0,0.0,0.0,196000.0,16000.0,0.0,0.0,0.0,0.0,2984000.0,2762000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,221000.0,0.0,2121000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2028000.0,0.0,0.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,0.0,0.0,4763000.0,4563000.0,2541000.0,2541000.0,0.0,0.0,1930000.0,270000.0,63000.0,219000.0,393000.0,490000.0,6000.0,489000.0,0.0,92000.0,92000.0,0.0,0.0,0.0,0.0,0.0,0.0,111000.0,35000.0,4000.0,63000.0,9000.0,0.0,0.0,0.0,89000.0,0.0,2839000.0,1833000.0,1540000.0,237000.0,0.0,15000.0,149000.0,54000.0,142000.0,279000.0,68000.0,0.0,314000.0,0.0,868000.0,574000.0,37000.0,5000.0,55000.0,90000.0,8000.0,0.0,99000.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,71000.0,60000.0,4307000.0,256000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Beacon Charter School,57,0.9649122807017544
4400009,N,44,44007,148,39300,DCYF,Rhode Island,RI,02,3,18,1,0,07,12,-3.0,54.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,A,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DCYF,42,0.047619047619047616
4400017,N,44,44003,148,39300,The Greene School,Rhode Island,RI,02,1,18,1,0,09,12,202.0,202.0,3377000.0,183000.0,45000.0,55000.0,8000.0,0.0,0.0,0.0,23000.0,31000.0,0.0,0.0,0.0,21000.0,1387000.0,1259000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,127000.0,0.0,1807000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1677000.0,0.0,0.0,0.0,3000.0,0.0,7000.0,0.0,0.0,0.0,0.0,1000.0,0.0,109000.0,10000.0,0.0,4149000.0,3052000.0,1354000.0,1354000.0,0.0,0.0,1664000.0,297000.0,219000.0,188000.0,235000.0,183000.0,293000.0,249000.0,0.0,34000.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,1096000.0,1026000.0,1000.0,14000.0,55000.0,0.0,0.0,0.0,1000.0,0.0,1649000.0,890000.0,712000.0,117000.0,0.0,0.0,213000.0,100000.0,126000.0,160000.0,32000.0,0.0,129000.0,0.0,528000.0,324000.0,52000.0,1000.0,30000.0,69000.0,13000.0,0.0,38000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,149000.0,36000.0,2918000.0,134000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,The Greene School,51,0.9215686274509803
4400018,N,44,44007,148,39300,Trinity Academy for the Performing Arts,Rhode Island,RI,02,1,18,1,0,07,12,212.0,212.0,3620000.0,399000.0,151000.0,50000.0,21000.0,0.0,37000.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,2281000.0,2188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,88000.0,0.0,940000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,873000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,61000.0,1000.0,0.0,3416000.0,3183000.0,1522000.0,1522000.0,4000.0,0.0,1661000.0,138000.0,154000.0,27000.0,402000.0,665000.0,12000.0,263000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,4000.0,42000.0,0.0,0.0,38000.0,4000.0,0.0,0.0,0.0,183000.0,0.0,1836000.0,1082000.0,703000.0,55000.0,313000.0,6000.0,106000.0,103000.0,16000.0,293000.0,62000.0,0.0,174000.0,0.0,492000.0,289000.0,17000.0,34000.0,5000.0,80000.0,7000.0,0.0,61000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,20000.0,38000.0,2956000.0,227000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,Trinity Academy for the Performing Arts,25,1.0
4400019,N,44,44007,148,39300,Rhode Island Nurses Institute Middle College,Rhode Island,RI,02,1,18,1,0,09,12,264.0,264.0,4916000.0,474000.0,127000.0,66000.0,9000.0,0.0,72000.0,0.0,199000.0,1000.0,0.0,0.0,0.0,0.0,2935000.0,2589000.0,0.0,0.0,0.0,4000.0,0.0,194000.0,0.0,0.0,0.0,0.0,0.0,148000.0,0.0,1507000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1342000.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,147000.0,0.0,0.0,4426000.0,4297000.0,1828000.0,1828000.0,0.0,0.0,2468000.0,401000.0,116000.0,302000.0,354000.0,794000.0,167000.0,334000.0,0.0,1000.0,1000.0,0.0,0.0,7000.0,0.0,7000.0,0.0,122000.0,0.0,0.0,109000.0,13000.0,0.0,0.0,0.0,0.0,0.0,2211000.0,1268000.0,1028000.0,87000.0,54000.0,77000.0,259000.0,74000.0,149000.0,239000.0,0.0,0.0,223000.0,0.0,692000.0,409000.0,102000.0,15000.0,19000.0,76000.0,0.0,0.0,71000.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,26000.0,4036000.0,262000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,Rhode Island Nurses Institute Middle College,33,0.8181818181818181
4400024,N,44,44007,148,39300,Sheila Skip Nowell Leadership Academy,Rhode Island,RI,02,1,18,1,0,09,12,163.0,163.0,16037000.0,1233000.0,326000.0,122000.0,57000.0,0.0,94000.0,0.0,424000.0,210000.0,0.0,0.0,0.0,0.0,9852000.0,9342000.0,0.0,0.0,0.0,10000.0,0.0,499000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,4952000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4675000.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,14000.0,0.0,69000.0,0.0,167000.0,14000.0,0.0,15056000.0,14453000.0,5763000.0,5763000.0,0.0,0.0,8014000.0,1954000.0,528000.0,429000.0,1079000.0,1624000.0,781000.0,1619000.0,0.0,676000.0,610000.0,66000.0,0.0,0.0,0.0,0.0,0.0,603000.0,366000.0,9000.0,59000.0,169000.0,0.0,0.0,0.0,0.0,0.0,8771000.0,3999000.0,112000.0,90000.0,3072000.0,49000.0,1316000.0,368000.0,314000.0,793000.0,408000.0,253000.0,1001000.0,268000.0,2583000.0,1292000.0,379000.0,68000.0,64000.0,241000.0,115000.0,24000.0,316000.0,78000.0,5000.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342000.0,211000.0,114000.0,13617000.0,836000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Sheila Skip Nowell Leadership Academy,76,0.14473684210526316
4400025,N,44,44007,148,39300,Village Green Virtual,Rhode Island,RI,02,1,18,1,0,09,12,229.0,229.0,4092000.0,481000.0,157000.0,59000.0,23000.0,0.0,0.0,0.0,242000.0,0.0,0.0,0.0,0.0,0.0,2380000.0,2260000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,0.0,1231000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1206000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,9000.0,15000.0,0.0,3452000.0,3244000.0,1539000.0,1539000.0,2000.0,0.0,1699000.0,194000.0,34000.0,246000.0,412000.0,591000.0,0.0,222000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0,11000.0,0.0,24000.0,28000.0,0.0,0.0,0.0,143000.0,0.0,1557000.0,988000.0,895000.0,84000.0,0.0,10000.0,103000.0,17000.0,158000.0,291000.0,0.0,0.0,0.0,0.0,526000.0,353000.0,33000.0,1000.0,44000.0,94000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,8000.0,3016000.0,229000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Village Green Virtual,49,0.9387755102040817
4400030,40300100130100,44,44001,148,39300,Barrington,Rhode Island,RI,03,3,18,1,1,PK,12,3362.0,3337.0,54661000.0,1621000.0,89000.0,873000.0,53000.0,0.0,32000.0,0.0,460000.0,114000.0,0.0,0.0,0.0,0.0,8587000.0,5249000.0,0.0,0.0,0.0,1000.0,0.0,0.0,16000.0,525000.0,0.0,126000.0,0.0,2572000.0,98000.0,44453000.0,43662000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,34000.0,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,55989000.0,49395000.0,31912000.0,31912000.0,2187000.0,24000.0,16675000.0,4623000.0,3065000.0,519000.0,2239000.0,3586000.0,1070000.0,1573000.0,0.0,808000.0,808000.0,0.0,0.0,1046000.0,0.0,0.0,1046000.0,151000.0,0.0,0.0,100000.0,51000.0,0.0,0.0,0.0,328000.0,2858000.0,31461000.0,22378000.0,16489000.0,3301000.0,44000.0,375000.0,2593000.0,2243000.0,196000.0,1516000.0,1323000.0,219000.0,994000.0,0.0,12674000.0,9317000.0,945000.0,528000.0,70000.0,664000.0,589000.0,89000.0,471000.0,0.0,0.0,152000.0,0.0,63480000.0,1024000.0,61668000.0,0.0,0.0,0.0,0.0,0.0,722000.0,325000.0,75000.0,45916000.0,908000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,I,I,R,Barrington,294,0.9693877551020408
